customer_city,unique_customers,total_orders,total_revenue,latitude,longitude,avg_order_value,avg_customer_value
agrolandia,1,1,60.91,-27.408262067680948,-49.83008266701338,60.91,60.91
agronomica,1,1,258.01,-27.268552042340637,-49.71196936466438,258.01,258.01
agua boa,6,6,1432.57,-17.978175134143868,-42.39248470864171,238.76166666666666,238.76166666666666
agua branca,4,4,583.72,-7.577075002658349,-40.284577376432495,145.93,145.93
agua clara,1,1,151.39,-20.441149398605198,-52.87735307459614,151.39,151.39
agua comprida,1,1,96.65,-20.057791817035962,-48.10811794228084,96.65,96.65
agua doce,1,1,672.1,-26.997866134854164,-51.555019682742255,672.1,672.1
agua doce do norte,3,3,500.96000000000004,-18.543085190055944,-40.98497675246625,166.98666666666668,166.98666666666668
agua limpa,1,1,416.8,-18.076322394559124,-48.76160432422692,416.8,416.8
agua santa,1,1,144.99,-28.183372036296035,-52.03985047911124,144.99,144.99
aguai,5,5,1741.17,-22.056968661722404,-46.97611915060669,348.23400000000004,348.23400000000004
aguas belas,2,2,742.45,-9.108812539014634,-37.117020266836576,371.225,371.225
aguas claras,1,1,116.96,-28.00030351378292,-49.17546213298624,116.96,116.96
aguas da prata,7,7,1024.6100000000001,-21.94008777133928,-46.71391248489887,146.37285714285716,146.37285714285716
aguas de lindoia,14,14,3192.2599999999998,-22.477153463969263,-46.61937324894832,228.01857142857142,228.01857142857142
aguas de santa barbara,2,2,169.07,-22.87741215304781,-49.24013875938814,84.535,84.535
aguas de sao pedro,1,1,61.09,-22.60248155257249,-47.871430213488246,61.09,61.09
aguas formosas,3,3,1349.6799999999998,-17.082201270979507,-40.93919981216429,449.89333333333326,449.89333333333326
aguas frias,1,1,318.98,,,318.98,318.98
aguas lindas de goias,16,16,2462.7000000000003,-15.715145444976736,-48.278107154632984,153.91875000000002,153.91875000000002
aguas mornas,1,1,104.52,-27.70103345965437,-48.83820955993601,104.52,104.52
aguas vermelhas,1,1,1048.1999999999998,-15.591092562986637,-41.48781386682808,1048.1999999999998,1048.1999999999998
agudos,8,8,869.31,-22.48684651462075,-49.01333761209646,108.66375,108.66375
aguia branca,2,2,199.94,-18.985716113277793,-40.74227057364542,99.97,99.97
aimores,5,5,619.71,-19.500415267687412,-41.07286145044401,123.94200000000001,123.94200000000001
aiuaba,1,1,147.38,-6.583338622041794,-40.13887446818398,147.38,147.38
aiuruoca,3,3,299.72,-21.978848424131765,-44.60576945448215,99.90666666666668,99.90666666666668
ajuricaba,2,2,245.37,-28.23771966641463,-53.76337497269791,122.685,122.685
alagoa nova,1,1,164.29,-7.06196902730586,-35.76440866320551,164.29,164.29
alagoinhas,23,23,3881.54,-12.136876439732411,-38.42578223635308,168.76260869565218,168.76260869565218
alambari,2,2,146.12,-23.56157106605844,-47.88510054852834,73.06,73.06
alcinopolis,5,5,697.9300000000001,,,139.586,139.586
alcobaca,3,3,1167.56,-17.49780399812736,-39.26235288962636,389.18666666666667,389.18666666666667
alegre,9,9,2046.33,-20.760206303395872,-41.53516276114848,227.37,227.37
alegrete,20,20,4955.03,-29.79281498189353,-55.788583898243054,247.7515,247.7515
alegrete do piaui,1,1,173.88,,,173.88,173.88
alegria,1,1,58.28,-23.865787169750206,-47.98325375999351,58.28,58.28
alem paraiba,15,15,1920.69,-21.85712337702486,-42.656613993623395,128.046,128.046
alexandra,1,1,51.31,-25.5534229350904,-48.62752422974045,51.31,51.31
alexandria,1,1,69.22,-6.413355657069214,-38.013967260122904,69.22,69.22
alexania,3,3,333.48,-16.08407742651032,-48.50677276463413,111.16000000000001,111.16000000000001
alfenas,24,24,6519.39,-21.425958242230827,-45.954638174681556,271.64125,271.64125
alfredo chaves,5,5,839.06,-20.627031870241968,-40.74931056937235,167.81199999999998,167.81199999999998
alfredo marcondes,1,1,169.23,-21.954288886597627,-51.41615439159179,169.23,169.23
alfredo wagner,1,1,792.17,-27.70013863320932,-49.33157442341497,792.17,792.17
alianca do tocantins,2,2,415.88,-11.305018450553812,-48.9372103148926,207.94,207.94
almenara,6,6,564.54,-16.176287602159036,-40.69302960684199,94.08999999999999,94.08999999999999
almirante tamandare,16,16,2906.94,-25.333400026475463,-49.2928748287132,181.68375,181.68375
alpercata,1,1,53.9,-18.978826415455085,-41.97968305588025,53.9,53.9
alpestre,1,1,136.98,-27.25035234287266,-53.03555485473069,136.98,136.98
alpinopolis,3,3,545.09,-20.858669988986815,-46.3868959952482,181.6966666666667,181.6966666666667
alta floresta,5,5,1991.43,-9.90209628377088,-56.147982464641714,398.286,398.286
alta floresta d'oeste,2,2,417.74,-11.944583970748216,-61.998825362568496,208.87,208.87
altamira,15,15,4220.57,-3.20515231286017,-52.215138710671035,281.3713333333333,281.3713333333333
altamira do parana,2,2,307.11,-24.799390826555005,-52.71544878175329,153.555,153.555
altaneira,1,1,142.66,-6.999919634947142,-39.739299453186206,142.66,142.66
alterosa,2,2,240.62,-21.255833645504303,-46.14487857042153,120.31,120.31
altinho,2,2,449.82,-8.488189811112091,-36.06023398040497,224.91,224.91
altinopolis,2,2,140.92,-21.02118500746342,-47.37739709707741,70.46,70.46
alto alegre,1,1,165.72,-17.567037034896376,-54.10783404138303,165.72,165.72
alto alegre do iguacu,2,2,378.75,-23.542811279858867,-52.28910357547104,189.375,189.375
alto alegre do maranhao,1,1,123.32,-4.214134911794691,-44.44951278413494,123.32,123.32
alto boa vista,1,1,91.41,-11.679428518842508,-51.37675429719136,91.41,91.41
alto caparao,1,1,324.58,-20.444053497570113,-41.870324125615916,324.58,324.58
alto do rodrigues,1,1,1057.4,-5.294882466955311,-36.75812276543539,1057.4,1057.4
alto garcas,2,2,340.06,-16.946129151708696,-53.53109550892496,170.03,170.03
alto jequitiba,1,1,91.69,-20.426509214614725,-41.96422219554987,91.69,91.69
alto paraiso de goias,7,7,14385.05,-14.139317335379074,-47.51689810696474,2055.0071428571428,2055.0071428571428
alto parana,1,1,136.0,-23.130349004567282,-52.32030487158121,136.0,136.0
alto parnaiba,1,1,117.1,-9.123470479520625,-45.94508688654757,117.1,117.1
